lsat,zfygpa,DOB_yr,zgpa,fulltime,fam_inc,age,sex,parttime,Dropout,pass_bar,tier,gpa,admission
44.0,1.18,61.0,0.97,1.0,3.0,-54.0,0,0.0,0,1.0,4.0,0,0
39.0,-1.2,69.0,-2.0,1.0,3.0,-62.0,0,0.0,0,1.0,3.0,0,0
30.5,0.93,65.0,-0.52,2.0,4.0,-63.0,1,1.0,0,1.0,3.0,1,0
37.0,1.58,67.0,1.42,1.0,4.0,-60.0,0,0.0,0,1.0,3.0,0,0
23.0,-1.77,67.0,-2.05,1.0,2.0,-65.0,1,0.0,0,0.0,3.0,0,0
33.0,-0.9,69.0,-0.9,1.0,4.0,-62.0,1,0.0,0,1.0,3.0,0,0
30.7,1.27,67.0,0.77,1.0,4.0,-60.0,0,0.0,0,1.0,3.0,0,0
40.0,1.14,66.0,0.49,1.0,4.0,-59.0,0,0.0,0,1.0,3.0,0,0
39.0,1.39,69.0,0.98,1.0,5.0,-62.0,1,0.0,0,1.0,4.0,0,0
42.5,-1.12,64.0,-1.94,1.0,3.0,-57.0,1,0.0,0,1.0,6.0,0,0
39.0,-0.06,68.0,-0.7,1.0,2.0,-61.0,0,0.0,0,1.0,4.0,0,0
34.0,0.91,68.0,0.61,1.0,4.0,-61.0,1,0.0,0,1.0,3.0,0,0
35.0,-0.95,69.0,-1.21,1.0,4.0,-62.0,0,0.0,0,1.0,5.0,0,0
36.0,-0.03,69.0,0.2,1.0,4.0,-62.0,1,0.0,0,1.0,4.0,1,0
33.0,-0.24,65.0,-0.08,1.0,2.0,-58.0,0,0.0,0,1.0,5.0,0,0
33.0,-0.71,64.0,-0.96,2.0,4.0,-62.0,0,1.0,0,0.0,3.0,0,0
40.0,0.19,55.0,0.39,2.0,4.0,-48.0,1,1.0,0,0.0,5.0,0,0
32.0,1.22,67.0,0.71,1.0,4.0,-60.0,0,0.0,0,1.0,1.0,0,0
24.0,-0.3,66.0,-0.71,1.0,4.0,-59.0,0,0.0,0,1.0,2.0,0,0
45.0,-1.12,69.0,-0.74,1.0,4.0,-62.0,1,0.0,0,1.0,5.0,0,0
34.0,-0.39,62.0,-0.63,2.0,3.0,-55.0,0,1.0,0,0.0,3.0,0,0
35.0,-1.7,69.0,-1.16,1.0,3.0,-62.0,0,0.0,0,0.0,3.0,0,0
35.0,1.1,63.0,1.0,1.0,3.0,-56.0,0,0.0,0,1.0,1.0,1,0
32.0,-0.47,69.0,-0.66,1.0,4.0,-67.0,0,0.0,0,1.0,2.0,1,0
44.0,-0.73,66.0,-0.85,1.0,3.0,-64.0,1,0.0,0,1.0,3.0,1,0
30.5,-1.72,66.0,-1.85,1.0,4.0,-59.0,0,0.0,0,0.0,2.0,0,0
30.0,1.57,52.0,1.56,1.0,3.0,-45.0,1,0.0,0,1.0,3.0,0,0
33.0,1.21,69.0,1.32,1.0,4.0,-62.0,0,0.0,0,1.0,4.0,0,0
30.0,-1.51,54.0,-1.7,1.0,4.0,-47.0,1,0.0,0,1.0,3.0,0,0
46.0,-0.39,69.0,-0.85,1.0,2.0,-62.0,0,0.0,0,1.0,5.0,1,0
41.0,1.04,66.0,1.01,1.0,3.0,-59.0,0,0.0,0,1.0,3.0,0,0
25.0,-0.42,68.0,-0.19,1.0,4.0,-61.0,0,0.0,0,0.0,2.0,1,0
32.0,-1.1,67.0,-1.3,1.0,3.0,-60.0,0,0.0,0,1.0,5.0,0,0
38.0,1.9,69.0,2.67,1.0,4.0,-62.0,0,0.0,0,1.0,4.0,0,1
40.0,0.65,66.0,1.19,1.0,4.0,-59.0,1,0.0,0,1.0,3.0,0,0
37.0,0.93,69.0,0.85,1.0,4.0,-67.0,1,0.0,0,1.0,4.0,1,0
36.5,-1.61,68.0,-1.81,1.0,2.0,-61.0,0,0.0,0,1.0,3.0,0,0
33.0,0.75,68.0,1.28,1.0,4.0,-61.0,0,0.0,0,1.0,3.0,0,0
32.5,0.29,66.0,0.27,1.0,3.0,-59.0,0,0.0,0,1.0,4.0,0,0
34.0,0.75,68.0,1.33,1.0,4.0,-61.0,0,0.0,0,1.0,2.0,0,0
27.0,0.32,69.0,0.83,1.0,4.0,-62.0,0,0.0,0,1.0,1.0,0,0
40.0,-1.37,69.0,-1.63,1.0,3.0,-67.0,1,0.0,0,0.0,5.0,1,0
45.0,0.82,69.0,1.0,1.0,4.0,-67.0,1,0.0,0,1.0,6.0,1,1
34.0,-1.97,68.0,-1.63,1.0,4.0,-61.0,0,0.0,0,0.0,3.0,0,0
42.0,0.53,66.0,0.69,1.0,2.0,-59.0,0,0.0,0,1.0,3.0,0,0
45.0,-0.09,65.0,0.5,1.0,3.0,-58.0,0,0.0,0,1.0,4.0,0,0
35.0,0.44,69.0,0.26,1.0,3.0,-62.0,1,0.0,0,1.0,3.0,0,0
37.0,-0.41,69.0,-0.55,1.0,3.0,-62.0,1,0.0,0,1.0,4.0,0,0
39.0,0.54,58.0,0.58,1.0,3.0,-51.0,1,0.0,0,1.0,3.0,1,0
35.0,-0.82,58.0,-0.34,1.0,3.0,-51.0,0,0.0,0,1.0,3.0,0,0
41.0,0.26,63.0,0.39,1.0,3.0,-56.0,0,0.0,0,1.0,4.0,0,0
32.0,-0.47,67.0,-0.22,1.0,3.0,-60.0,1,0.0,0,1.0,5.0,1,1
39.0,0.88,64.0,0.1,1.0,4.0,-57.0,0,0.0,0,1.0,3.0,0,0
33.5,0.39,64.0,0.36,1.0,4.0,-57.0,0,0.0,0,1.0,3.0,0,0
38.0,0.8,65.0,1.01,1.0,5.0,-58.0,0,0.0,0,1.0,6.0,0,1
37.0,0.69,69.0,0.0,1.0,3.0,-62.0,1,0.0,0,1.0,5.0,0,1
34.0,-1.41,69.0,-0.47,1.0,3.0,-62.0,1,0.0,0,1.0,3.0,0,0
46.0,-0.16,69.0,0.14,1.0,3.0,-62.0,0,0.0,0,1.0,5.0,0,0
42.0,-0.11,68.0,-0.1,1.0,1.0,-61.0,1,0.0,0,1.0,4.0,1,0
36.0,0.41,65.0,0.87,1.0,3.0,-58.0,1,0.0,0,1.0,5.0,0,1
39.0,1.0,66.0,1.11,1.0,2.0,-64.0,1,0.0,0,1.0,5.0,0,1
44.0,0.51,61.0,0.09,1.0,4.0,-54.0,1,0.0,0,1.0,3.0,0,0
37.0,-0.07,66.0,-0.21,1.0,5.0,-59.0,1,0.0,0,1.0,5.0,1,0
41.0,1.66,60.0,1.9,1.0,4.0,-53.0,1,0.0,0,1.0,4.0,0,1
36.5,-0.93,61.0,-0.28,1.0,4.0,-54.0,1,0.0,0,1.0,3.0,1,0
36.0,0.22,68.0,-0.19,1.0,4.0,-61.0,0,0.0,0,1.0,3.0,0,0
44.0,1.28,51.0,1.65,1.0,3.0,-49.0,1,0.0,0,1.0,5.0,0,1
41.0,1.6,70.0,1.5,1.0,4.0,-63.0,1,0.0,0,1.0,4.0,0,1
24.0,0.17,64.0,0.0,1.0,3.0,-62.0,1,0.0,0,1.0,3.0,0,0
35.0,1.69,59.0,2.41,1.0,4.0,-52.0,0,0.0,0,1.0,1.0,0,0
33.5,0.47,66.0,0.42,2.0,3.0,-59.0,1,1.0,0,1.0,3.0,0,0
38.0,-0.07,68.0,0.22,1.0,3.0,-61.0,1,0.0,0,1.0,3.0,0,0
36.0,0.42,53.0,0.22,1.0,4.0,-46.0,0,0.0,0,1.0,4.0,0,0
31.0,-0.86,67.0,-1.09,1.0,3.0,-60.0,0,0.0,0,1.0,3.0,0,0
40.0,-0.35,67.0,-0.71,1.0,4.0,-65.0,1,0.0,0,1.0,3.0,0,0
46.0,1.02,68.0,0.3,1.0,4.0,-61.0,0,0.0,0,1.0,3.0,0,0
33.0,0.58,68.0,0.15,1.0,3.0,-61.0,1,0.0,0,1.0,3.0,1,0
38.0,0.11,48.0,0.95,1.0,4.0,-41.0,1,0.0,0,1.0,3.0,0,0
45.0,1.3,69.0,0.97,1.0,2.0,-62.0,0,0.0,0,1.0,4.0,0,0
35.0,0.99,69.0,1.55,1.0,4.0,-62.0,0,0.0,0,1.0,3.0,0,0
25.0,0.16,56.0,-0.22,1.0,1.0,-49.0,1,0.0,0,1.0,1.0,0,0
33.0,0.32,68.0,0.41,1.0,4.0,-61.0,0,0.0,0,1.0,2.0,0,0
26.0,-0.24,68.0,-0.36,1.0,1.0,-61.0,1,0.0,0,1.0,4.0,1,0
40.0,-1.59,67.0,-2.01,1.0,3.0,-60.0,0,0.0,0,1.0,4.0,1,0
30.0,-0.93,66.0,-1.63,1.0,3.0,-59.0,0,0.0,0,0.0,4.0,0,0
35.0,0.41,61.0,0.18,1.0,3.0,-59.0,0,0.0,0,1.0,2.0,0,0
34.5,0.26,68.0,-0.46,1.0,4.0,-66.0,0,0.0,0,1.0,3.0,0,0
39.0,1.35,69.0,-1.24,1.0,4.0,-62.0,0,0.0,0,1.0,6.0,1,0
39.0,1.22,49.0,0.5,1.0,4.0,-42.0,1,0.0,0,1.0,3.0,0,0
41.0,-0.65,62.0,-0.73,2.0,2.0,-60.0,0,1.0,0,1.0,3.0,0,0
33.0,-0.49,57.0,-0.71,2.0,2.0,-50.0,1,1.0,0,1.0,3.0,1,0
47.0,0.35,69.0,0.76,1.0,4.0,-62.0,0,0.0,0,1.0,4.0,0,0
41.0,-0.65,62.0,0.13,1.0,3.0,-55.0,0,0.0,0,1.0,5.0,1,0
43.0,1.42,69.0,1.52,1.0,4.0,-62.0,1,0.0,0,1.0,4.0,1,1
38.0,0.25,68.0,0.04,1.0,5.0,-61.0,1,0.0,0,1.0,3.0,1,0
33.0,0.28,69.0,0.33,1.0,3.0,-67.0,1,0.0,0,1.0,3.0,1,0
35.0,-0.56,64.0,-0.78,1.0,4.0,-57.0,0,0.0,0,1.0,3.0,0,0
35.0,1.19,68.0,1.24,1.0,4.0,-61.0,0,0.0,0,1.0,4.0,0,0
43.0,0.85,48.0,1.37,1.0,4.0,-41.0,1,0.0,0,1.0,3.0,0,0
45.0,-0.94,67.0,-1.1,1.0,4.0,-60.0,1,0.0,0,1.0,6.0,1,1
40.0,1.35,69.0,1.32,1.0,3.0,-62.0,1,0.0,0,1.0,4.0,1,1
29.0,-0.32,69.0,-0.47,1.0,2.0,-62.0,1,0.0,0,1.0,3.0,0,0
29.0,0.54,68.0,0.82,1.0,3.0,-61.0,1,0.0,0,1.0,4.0,0,1
38.0,0.23,67.0,0.91,1.0,4.0,-60.0,0,0.0,0,1.0,4.0,0,0
43.0,0.11,68.0,0.05,1.0,3.0,-61.0,0,0.0,0,1.0,4.0,0,0
39.0,-0.82,69.0,-0.95,1.0,4.0,-62.0,1,0.0,0,1.0,4.0,0,0
32.0,0.6,59.0,1.28,2.0,3.0,-57.0,1,1.0,0,1.0,3.0,0,0
31.5,-1.19,68.0,-1.45,1.0,3.0,-61.0,1,0.0,0,1.0,6.0,0,1
39.0,0.48,65.0,0.53,1.0,2.0,-58.0,0,0.0,0,1.0,4.0,0,0
35.0,-0.96,64.0,-0.68,1.0,4.0,-57.0,0,0.0,0,1.0,2.0,0,0
35.0,1.25,68.0,0.98,1.0,3.0,-61.0,1,0.0,0,1.0,3.0,0,0
40.0,0.57,68.0,0.06,1.0,4.0,-61.0,0,0.0,0,1.0,5.0,1,0
37.0,1.22,47.0,1.22,1.0,3.0,-45.0,1,0.0,0,1.0,4.0,0,0
32.0,-0.26,69.0,-0.47,1.0,3.0,-62.0,1,0.0,0,1.0,5.0,1,0
39.0,0.93,69.0,0.81,1.0,3.0,-62.0,0,0.0,0,1.0,5.0,0,1
37.0,0.66,60.0,0.86,1.0,3.0,-53.0,0,0.0,0,1.0,4.0,1,0
36.0,0.33,65.0,0.92,1.0,4.0,-58.0,0,0.0,0,1.0,4.0,1,0
48.0,-0.75,70.0,-0.13,1.0,4.0,-63.0,0,0.0,0,1.0,5.0,1,0
22.5,-1.45,46.0,-1.34,1.0,5.0,-39.0,1,0.0,0,0.0,3.0,0,0
41.0,0.09,68.0,-0.1,1.0,5.0,-61.0,0,0.0,0,1.0,6.0,0,0
34.0,1.88,68.0,0.93,1.0,4.0,-61.0,0,0.0,0,1.0,3.0,1,0
33.0,-1.42,56.0,-0.69,2.0,3.0,-54.0,0,1.0,0,1.0,3.0,0,0
45.0,-0.22,70.0,0.13,1.0,5.0,-63.0,1,0.0,0,1.0,4.0,1,0
43.0,-1.06,66.0,-1.44,1.0,4.0,-59.0,0,0.0,0,1.0,5.0,0,0
44.0,2.01,69.0,2.06,1.0,5.0,-62.0,0,0.0,0,1.0,4.0,1,0
42.0,0.82,69.0,0.79,1.0,5.0,-67.0,1,0.0,0,1.0,6.0,1,1
43.0,0.88,51.0,1.47,1.0,3.0,-44.0,1,0.0,0,1.0,3.0,1,0
40.0,0.47,68.0,0.85,1.0,4.0,-61.0,0,0.0,0,1.0,3.0,0,0
46.0,0.2,68.0,0.43,1.0,3.0,-61.0,1,0.0,0,1.0,4.0,0,0
42.0,2.4,61.0,2.86,2.0,4.0,-54.0,0,1.0,0,1.0,4.0,1,0
33.0,-0.2,48.0,-0.98,1.0,4.0,-41.0,1,0.0,0,1.0,3.0,0,0
40.0,-0.13,68.0,-1.62,1.0,4.0,-61.0,0,0.0,0,1.0,3.0,0,0
39.0,0.42,68.0,0.21,1.0,3.0,-61.0,0,0.0,0,1.0,4.0,0,0
28.5,-1.06,63.0,-0.25,1.0,3.0,-61.0,0,0.0,0,1.0,2.0,0,0
31.0,0.51,62.0,-0.47,1.0,4.0,-55.0,0,0.0,0,1.0,3.0,0,0
42.0,-0.37,69.0,0.0,1.0,3.0,-62.0,0,0.0,0,1.0,4.0,0,0
44.0,-0.66,69.0,-0.71,1.0,4.0,-62.0,1,0.0,0,1.0,6.0,1,1
35.0,-1.07,69.0,-0.29,1.0,4.0,-62.0,1,0.0,0,1.0,3.0,0,0
26.5,-1.65,67.0,-1.56,1.0,4.0,-60.0,0,0.0,0,1.0,3.0,0,0
45.0,0.84,69.0,0.89,1.0,4.0,-62.0,0,0.0,0,1.0,6.0,1,1
36.0,0.07,69.0,-0.04,1.0,4.0,-62.0,0,0.0,0,1.0,3.0,0,0
38.0,1.12,64.0,1.03,1.0,4.0,-62.0,1,0.0,0,1.0,3.0,0,0
39.0,1.0,68.0,0.99,1.0,4.0,-61.0,0,0.0,0,1.0,3.0,0,0
36.5,0.04,68.0,0.18,1.0,3.0,-61.0,0,0.0,0,1.0,6.0,0,1
39.0,0.71,65.0,1.08,1.0,3.0,-58.0,0,0.0,0,1.0,5.0,0,1
37.0,-0.11,65.0,-0.22,1.0,4.0,-58.0,1,0.0,0,1.0,5.0,0,0
37.0,0.56,70.0,1.08,1.0,4.0,-63.0,1,0.0,0,1.0,5.0,1,1
33.0,0.04,43.0,0.37,1.0,3.0,-36.0,1,0.0,0,1.0,3.0,0,0
42.0,2.37,62.0,2.83,1.0,4.0,-55.0,0,0.0,0,1.0,3.0,1,0
38.0,1.97,69.0,2.19,1.0,3.0,-62.0,1,0.0,0,1.0,3.0,0,1
35.0,-0.59,67.0,0.18,1.0,5.0,-65.0,0,0.0,0,1.0,3.0,0,0
42.0,-1.33,68.0,-1.55,1.0,3.0,-61.0,0,0.0,0,1.0,3.0,0,0
34.0,-0.18,68.0,-0.73,1.0,3.0,-61.0,1,0.0,0,1.0,6.0,1,1
44.0,0.66,50.0,0.34,2.0,4.0,-48.0,0,1.0,0,1.0,5.0,0,0
37.5,-0.27,68.0,-0.44,1.0,3.0,-61.0,1,0.0,0,1.0,3.0,0,0
28.0,-0.48,67.0,-0.71,1.0,2.0,-60.0,1,0.0,0,1.0,5.0,1,1
42.0,-1.21,68.0,-0.88,1.0,3.0,-61.0,1,0.0,0,1.0,4.0,0,0
33.0,-0.38,70.0,0.17,1.0,3.0,-63.0,1,0.0,0,1.0,5.0,1,1
41.0,-0.02,46.0,0.23,1.0,5.0,-39.0,1,0.0,0,1.0,3.0,0,0
38.0,2.02,69.0,1.85,1.0,4.0,-62.0,0,0.0,0,1.0,4.0,1,0
32.0,-0.11,56.0,0.1,2.0,3.0,-49.0,1,1.0,0,1.0,5.0,0,0
34.5,-1.03,68.0,-1.37,1.0,4.0,-61.0,1,0.0,0,1.0,3.0,0,0
45.0,0.99,69.0,0.69,1.0,4.0,-62.0,1,0.0,0,1.0,5.0,0,1
45.0,0.37,67.0,-0.07,1.0,4.0,-60.0,1,0.0,0,1.0,6.0,1,1
37.5,0.87,59.0,1.44,1.0,4.0,-52.0,1,0.0,0,1.0,4.0,1,1
39.0,0.59,68.0,0.13,1.0,3.0,-61.0,1,0.0,0,1.0,4.0,0,0
36.0,0.28,69.0,-0.19,1.0,3.0,-62.0,0,0.0,0,1.0,4.0,0,0
45.0,1.56,69.0,1.91,1.0,4.0,-62.0,1,0.0,0,1.0,5.0,1,1
43.0,0.03,69.0,0.03,1.0,5.0,-62.0,1,0.0,0,1.0,4.0,1,0
33.5,0.37,69.0,0.67,1.0,3.0,-62.0,0,0.0,0,1.0,3.0,0,0
41.0,-1.09,69.0,-0.98,1.0,4.0,-62.0,0,0.0,0,1.0,4.0,1,0
34.0,-0.07,67.0,-0.27,1.0,4.0,-60.0,1,0.0,0,1.0,3.0,1,0
36.0,0.26,68.0,0.07,1.0,4.0,-61.0,0,0.0,0,1.0,3.0,0,0
40.5,-0.15,68.0,-0.02,1.0,4.0,-61.0,0,0.0,0,1.0,3.0,0,0
32.0,-0.37,69.0,0.67,1.0,4.0,-62.0,0,0.0,0,1.0,3.0,0,0
38.0,-1.29,69.0,-1.3,1.0,4.0,-62.0,1,0.0,0,1.0,5.0,0,0
35.0,-1.29,69.0,-1.57,1.0,3.0,-62.0,1,0.0,0,1.0,3.0,0,0
46.0,1.5,69.0,1.17,1.0,4.0,-62.0,1,0.0,0,1.0,6.0,0,1
22.5,-0.78,61.0,-1.25,2.0,3.0,-59.0,1,1.0,0,0.0,4.0,0,0
34.0,0.71,69.0,0.61,1.0,5.0,-62.0,1,0.0,0,1.0,4.0,0,0
36.0,-0.25,68.0,-0.51,1.0,3.0,-61.0,1,0.0,0,1.0,5.0,0,0
23.0,-0.56,69.0,-1.28,1.0,3.0,-62.0,1,0.0,0,0.0,1.0,0,0
34.0,0.08,68.0,-0.7,1.0,4.0,-66.0,1,0.0,0,1.0,4.0,1,0
36.0,-0.18,67.0,-0.11,1.0,4.0,-60.0,0,0.0,0,1.0,3.0,0,0
44.0,0.17,68.0,0.22,1.0,3.0,-61.0,1,0.0,0,1.0,3.0,0,0
34.0,1.99,68.0,1.97,1.0,4.0,-61.0,0,0.0,0,1.0,4.0,1,0
35.0,0.75,68.0,0.77,1.0,4.0,-61.0,0,0.0,0,1.0,4.0,1,0
38.0,0.68,67.0,0.61,1.0,4.0,-60.0,0,0.0,0,1.0,4.0,1,0
39.0,2.62,54.0,2.65,1.0,2.0,-47.0,1,0.0,0,1.0,4.0,1,1
40.0,0.61,56.0,0.0,2.0,3.0,-54.0,1,1.0,0,1.0,4.0,0,0
27.5,-0.79,70.0,-0.05,1.0,4.0,-68.0,1,0.0,0,1.0,2.0,0,0
42.0,0.63,69.0,0.58,1.0,4.0,-62.0,1,0.0,0,1.0,4.0,1,0
32.0,0.36,68.0,0.04,1.0,4.0,-61.0,0,0.0,0,0.0,3.0,0,0
30.0,0.69,66.0,1.17,1.0,3.0,-59.0,0,0.0,0,1.0,2.0,0,0
46.0,0.97,64.0,0.74,1.0,2.0,-57.0,1,0.0,0,1.0,4.0,0,1
36.0,-0.11,69.0,-0.22,1.0,4.0,-62.0,0,0.0,0,1.0,4.0,1,0
45.0,0.11,67.0,0.19,1.0,5.0,-60.0,0,0.0,0,1.0,6.0,1,1
30.0,-0.2,69.0,0.46,1.0,2.0,-62.0,1,0.0,0,1.0,3.0,1,0
34.0,0.97,58.0,1.03,1.0,3.0,-51.0,0,0.0,0,1.0,4.0,1,0
33.0,0.45,69.0,0.56,1.0,4.0,-62.0,1,0.0,0,1.0,3.0,0,0
39.0,1.66,69.0,1.18,2.0,4.0,-62.0,0,1.0,0,1.0,3.0,0,0
34.0,0.62,68.0,0.84,1.0,4.0,-61.0,0,0.0,0,1.0,4.0,0,0
28.0,-1.58,62.0,-0.96,1.0,3.0,-55.0,1,0.0,0,1.0,4.0,1,0
27.5,0.46,60.0,0.02,2.0,4.0,-53.0,1,1.0,0,1.0,2.0,1,0
37.0,0.2,64.0,-0.38,2.0,3.0,-57.0,1,1.0,0,1.0,6.0,0,1
34.0,1.65,69.0,1.54,1.0,5.0,-62.0,1,0.0,0,1.0,2.0,0,0
27.3,0.37,68.0,-1.36,1.0,4.0,-61.0,1,0.0,0,1.0,3.0,0,0
27.0,-0.93,69.0,-0.28,1.0,3.0,-62.0,0,0.0,0,1.0,1.0,1,0
33.5,0.87,62.0,0.88,1.0,3.0,-60.0,1,0.0,0,1.0,3.0,0,0
30.0,-1.85,65.0,-1.73,1.0,2.0,-58.0,0,0.0,0,1.0,6.0,0,0
29.0,0.8,68.0,0.46,1.0,4.0,-61.0,0,0.0,0,1.0,4.0,0,0
47.0,1.5,64.0,1.35,1.0,4.0,-57.0,1,0.0,0,1.0,6.0,0,1
39.0,0.08,69.0,-0.59,1.0,3.0,-62.0,0,0.0,0,1.0,4.0,0,0
33.0,-0.01,68.0,-0.07,1.0,3.0,-61.0,0,0.0,0,1.0,2.0,0,0
32.5,-0.92,64.0,-0.63,1.0,1.0,-57.0,1,0.0,0,1.0,3.0,0,0
45.0,-0.34,69.0,-0.09,1.0,3.0,-62.0,0,0.0,0,1.0,5.0,0,0
24.0,-1.38,66.0,-1.27,1.0,2.0,-59.0,1,0.0,0,1.0,3.0,0,0
43.0,-0.04,68.0,-0.14,1.0,4.0,-61.0,1,0.0,0,1.0,4.0,0,0
47.0,0.31,69.0,0.19,1.0,3.0,-62.0,0,0.0,0,1.0,5.0,1,0
46.0,-1.24,69.0,-0.31,1.0,4.0,-67.0,0,0.0,0,1.0,5.0,1,0
42.0,0.11,68.0,0.2,1.0,3.0,-61.0,1,0.0,0,1.0,5.0,1,1
27.0,-1.9,67.0,-1.27,1.0,4.0,-60.0,1,0.0,0,1.0,3.0,0,0
41.0,0.72,68.0,0.54,1.0,3.0,-61.0,0,0.0,0,1.0,5.0,1,0
34.0,-0.76,60.0,-1.42,1.0,4.0,-53.0,0,0.0,0,1.0,2.0,0,0
30.0,-1.07,68.0,-1.54,1.0,4.0,-61.0,0,0.0,0,0.0,4.0,0,0
46.0,0.65,68.0,1.31,1.0,4.0,-61.0,1,0.0,0,1.0,5.0,0,1
33.0,0.61,66.0,-0.13,1.0,3.0,-59.0,0,0.0,0,1.0,3.0,0,0
34.0,0.91,63.0,0.93,1.0,4.0,-56.0,0,0.0,0,1.0,2.0,0,0
32.0,0.18,63.0,-0.11,2.0,3.0,-61.0,0,1.0,0,1.0,4.0,1,0
41.0,0.23,68.0,-0.06,1.0,4.0,-61.0,1,0.0,0,1.0,5.0,1,0
38.0,0.27,69.0,0.42,1.0,5.0,-62.0,1,0.0,0,1.0,4.0,0,0
37.0,1.34,68.0,1.2,1.0,4.0,-61.0,0,0.0,0,1.0,3.0,0,0
40.0,0.01,69.0,-0.52,1.0,4.0,-62.0,0,0.0,0,1.0,3.0,0,0
35.0,0.79,60.0,1.02,1.0,4.0,-53.0,1,0.0,0,1.0,4.0,0,0
41.0,0.45,69.0,0.74,1.0,4.0,-62.0,0,0.0,0,1.0,3.0,1,0
41.0,1.82,64.0,1.86,1.0,2.0,-62.0,0,0.0,0,1.0,4.0,0,1
42.0,1.44,69.0,1.29,1.0,4.0,-62.0,1,0.0,0,1.0,6.0,1,1
40.0,0.49,68.0,0.01,1.0,4.0,-61.0,1,0.0,0,1.0,3.0,0,0
39.0,0.1,65.0,-0.05,1.0,3.0,-58.0,0,0.0,0,1.0,3.0,0,0
28.0,-0.17,49.0,0.37,1.0,2.0,-42.0,1,0.0,0,1.0,3.0,1,0
31.0,0.08,67.0,-0.07,1.0,4.0,-60.0,1,0.0,0,1.0,2.0,0,0
36.0,0.3,68.0,0.4,1.0,4.0,-61.0,1,0.0,0,1.0,3.0,0,0
35.0,-1.05,69.0,-0.95,1.0,4.0,-67.0,1,0.0,0,1.0,4.0,0,0
37.0,-0.4,68.0,-0.45,1.0,4.0,-61.0,0,0.0,0,1.0,5.0,0,0
44.0,-0.06,66.0,-0.32,1.0,2.0,-59.0,0,0.0,0,1.0,5.0,1,0
45.0,0.42,68.0,0.3,1.0,4.0,-61.0,0,0.0,0,1.0,6.0,1,1
39.0,1.02,65.0,1.49,1.0,4.0,-58.0,0,0.0,0,1.0,5.0,0,1
37.0,-0.05,69.0,0.07,1.0,3.0,-62.0,0,0.0,0,1.0,2.0,1,0
39.0,-0.46,69.0,-0.63,1.0,3.0,-62.0,0,0.0,0,1.0,3.0,0,0
32.0,-0.22,68.0,-0.5,1.0,3.0,-61.0,0,0.0,0,1.0,3.0,1,0
